id,Name,Height(m),Weight{kg},HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Type_1,Type_2,Is_Legendary,Is_Mythical,Egg_Group_1,Egg_Group_2,Generation,Capture_Rate,Base_Happiness,Is_Baby,Egg_Cycles,Past_Type,Is_Pseudo_Legendary,Total_Stats
184,Azumarill,0.8,28.5,100,50,80,60,80,50,Water,Fairy,FALSE,FALSE,Water1,Fairy,Gen-2,75,70,FALSE,10,Water,FALSE,420
185,Sudowoodo,1.2,38,70,100,115,30,65,30,Rock,,FALSE,FALSE,Mineral,,Gen-2,65,70,FALSE,20,,FALSE,410
186,Politoed,1.1,33.9,90,75,75,90,100,70,Water,,FALSE,FALSE,Water1,,Gen-2,45,70,FALSE,20,,FALSE,500
187,Hoppip,0.4,0.5,35,35,40,35,55,50,Grass,Flying,FALSE,FALSE,Fairy,Plant,Gen-2,255,70,FALSE,20,,FALSE,250
188,Skiploom,0.6,1,55,45,50,45,65,80,Grass,Flying,FALSE,FALSE,Fairy,Plant,Gen-2,120,70,FALSE,20,,FALSE,340
189,Jumpluff,0.8,3,75,55,70,55,95,110,Grass,Flying,FALSE,FALSE,Fairy,Plant,Gen-2,45,70,FALSE,20,,FALSE,460
190,Aipom,0.8,11.5,55,70,55,40,55,85,Normal,,FALSE,FALSE,Ground,,Gen-2,45,70,FALSE,20,,FALSE,360
191,Sunkern,0.3,1.8,30,30,30,30,30,30,Grass,,FALSE,FALSE,Plant,,Gen-2,235,70,FALSE,20,,FALSE,180
192,Sunflora,0.8,8.5,75,75,55,105,85,30,Grass,,FALSE,FALSE,Plant,,Gen-2,120,70,FALSE,20,,FALSE,425
193,Yanma,1.2,38,65,65,45,75,45,95,Bug,Flying,FALSE,FALSE,Bug,,Gen-2,75,70,FALSE,20,,FALSE,390
194,Wooper,0.4,8.5,55,45,45,25,25,15,Water,Ground,FALSE,FALSE,Water1,Ground,Gen-2,255,70,FALSE,20,,FALSE,210
195,Quagsire,1.4,75,95,85,85,65,65,35,Water,Ground,FALSE,FALSE,Water1,Ground,Gen-2,90,70,FALSE,20,,FALSE,430
196,Espeon,0.9,26.5,65,65,60,130,95,110,Psychic,,FALSE,FALSE,Ground,,Gen-2,45,70,FALSE,35,,FALSE,525
197,Umbreon,1,27,95,65,110,60,130,65,Dark,,FALSE,FALSE,Ground,,Gen-2,45,35,FALSE,35,,FALSE,525
198,Murkrow,0.5,2.1,60,85,42,85,42,91,Dark,Flying,FALSE,FALSE,Flying,,Gen-2,30,35,FALSE,20,,FALSE,405
199,Slowking,2,79.5,95,75,80,100,110,30,Water,Psychic,FALSE,FALSE,Monster,Water1,Gen-2,70,70,FALSE,20,,FALSE,490
200,Misdreavus,0.7,1,60,60,60,85,85,85,Ghost,,FALSE,FALSE,Indeterminate,,Gen-2,45,35,FALSE,25,,FALSE,435
201,Unown,0.5,5,48,72,48,72,48,48,Psychic,,FALSE,FALSE,No-eggs,,Gen-2,225,70,FALSE,40,,FALSE,336
202,Wobbuffet,1.3,28.5,190,33,58,33,58,33,Psychic,,FALSE,FALSE,Indeterminate,,Gen-2,45,70,FALSE,20,,FALSE,405
203,Girafarig,1.5,41.5,70,80,65,90,65,85,Normal,Psychic,FALSE,FALSE,Ground,,Gen-2,60,70,FALSE,20,,FALSE,455
204,Pineco,0.6,7.2,50,65,90,35,35,15,Bug,,FALSE,FALSE,Bug,,Gen-2,190,70,FALSE,20,,FALSE,290
205,Forretress,1.2,125.8,75,90,140,60,60,40,Bug,Steel,FALSE,FALSE,Bug,,Gen-2,75,70,FALSE,20,,FALSE,465
206,Dunsparce,1.5,14,100,70,70,65,65,45,Normal,,FALSE,FALSE,Ground,,Gen-2,190,70,FALSE,20,,FALSE,415
207,Gligar,1.1,64.8,65,75,105,35,65,85,Ground,Flying,FALSE,FALSE,Bug,,Gen-2,60,70,FALSE,20,,FALSE,430
208,Steelix,9.2,400,75,85,200,55,65,30,Steel,Ground,FALSE,FALSE,Mineral,,Gen-2,25,70,FALSE,25,,FALSE,510
209,Snubbull,0.6,7.8,60,80,50,40,40,30,Fairy,,FALSE,FALSE,Ground,Fairy,Gen-2,190,70,FALSE,20,Normal,FALSE,300
210,Granbull,1.4,48.7,90,120,75,60,60,45,Fairy,,FALSE,FALSE,Ground,Fairy,Gen-2,75,70,FALSE,20,Normal,FALSE,450
211,Qwilfish,0.5,3.9,65,95,85,55,55,85,Water,Poison,FALSE,FALSE,Water2,,Gen-2,45,70,FALSE,20,,FALSE,440
212,Scizor,1.8,118,70,130,100,55,80,65,Bug,Steel,FALSE,FALSE,Bug,,Gen-2,25,70,FALSE,25,,FALSE,500
213,Shuckle,0.6,20.5,20,10,230,10,230,5,Bug,Rock,FALSE,FALSE,Bug,,Gen-2,190,70,FALSE,20,,FALSE,505
214,Heracross,1.5,54,80,125,75,40,95,85,Bug,Fighting,FALSE,FALSE,Bug,,Gen-2,45,70,FALSE,25,,FALSE,500
215,Sneasel,0.9,28,55,95,55,35,75,115,Dark,Ice,FALSE,FALSE,Ground,,Gen-2,60,35,FALSE,20,,FALSE,430
216,Teddiursa,0.6,8.8,60,80,50,50,50,40,Normal,,FALSE,FALSE,Ground,,Gen-2,120,70,FALSE,20,,FALSE,330
217,Ursaring,1.8,125.8,90,130,75,75,75,55,Normal,,FALSE,FALSE,Ground,,Gen-2,60,70,FALSE,20,,FALSE,500
218,Slugma,0.7,35,40,40,40,70,40,20,Fire,,FALSE,FALSE,Indeterminate,,Gen-2,190,70,FALSE,20,,FALSE,250
219,Magcargo,0.8,55,60,50,120,90,80,30,Fire,Rock,FALSE,FALSE,Indeterminate,,Gen-2,75,70,FALSE,20,,FALSE,430
220,Swinub,0.4,6.5,50,50,40,30,30,50,Ice,Ground,FALSE,FALSE,Ground,,Gen-2,225,70,FALSE,20,,FALSE,250
221,Piloswine,1.1,55.8,100,100,80,60,60,50,Ice,Ground,FALSE,FALSE,Ground,,Gen-2,75,70,FALSE,20,,FALSE,450
222,Corsola,0.6,5,65,55,95,65,95,35,Water,Rock,FALSE,FALSE,Water1,Water3,Gen-2,60,70,FALSE,20,,FALSE,410
223,Remoraid,0.6,12,35,65,35,65,35,65,Water,,FALSE,FALSE,Water1,Water2,Gen-2,190,70,FALSE,20,,FALSE,300
224,Octillery,0.9,28.5,75,105,75,105,75,45,Water,,FALSE,FALSE,Water1,Water2,Gen-2,75,70,FALSE,20,,FALSE,480
225,Delibird,0.9,16,45,55,45,65,45,75,Ice,Flying,FALSE,FALSE,Water1,Ground,Gen-2,45,70,FALSE,20,,FALSE,330
226,Mantine,2.1,220,85,40,70,80,140,70,Water,Flying,FALSE,FALSE,Water1,,Gen-2,25,70,FALSE,25,,FALSE,485
227,Skarmory,1.7,50.5,65,80,140,40,70,70,Steel,Flying,FALSE,FALSE,Flying,,Gen-2,25,70,FALSE,25,,FALSE,465
228,Houndour,0.6,10.8,45,60,30,80,50,65,Dark,Fire,FALSE,FALSE,Ground,,Gen-2,120,35,FALSE,20,,FALSE,330
229,Houndoom,1.4,35,75,90,50,110,80,95,Dark,Fire,FALSE,FALSE,Ground,,Gen-2,45,35,FALSE,20,,FALSE,500
230,Kingdra,1.8,152,75,95,95,95,95,85,Water,Dragon,FALSE,FALSE,Water1,Dragon,Gen-2,45,70,FALSE,20,,FALSE,540
231,Phanpy,0.5,33.5,90,60,60,40,40,40,Ground,,FALSE,FALSE,Ground,,Gen-2,120,70,FALSE,20,,FALSE,330
232,Donphan,1.1,120,90,120,120,60,60,50,Ground,,FALSE,FALSE,Ground,,Gen-2,60,70,FALSE,20,,FALSE,500
233,Porygon2,0.6,32.5,85,80,90,105,95,60,Normal,,FALSE,FALSE,Mineral,,Gen-2,45,70,FALSE,20,,FALSE,515
234,Stantler,1.4,71.2,73,95,62,85,65,85,Normal,,FALSE,FALSE,Ground,,Gen-2,45,70,FALSE,20,,FALSE,465
235,Smeargle,1.2,58,55,20,35,20,45,75,Normal,,FALSE,FALSE,Ground,,Gen-2,45,70,FALSE,20,,FALSE,250
236,Tyrogue,0.7,21,35,35,35,35,35,35,Fighting,,FALSE,FALSE,No-eggs,,Gen-2,75,70,TRUE,25,,FALSE,210
237,Hitmontop,1.4,48,50,95,95,35,110,70,Fighting,,FALSE,FALSE,Humanshape,,Gen-2,45,70,FALSE,25,,FALSE,455
238,Smoochum,0.4,6,45,30,15,85,65,65,Ice,Psychic,FALSE,FALSE,No-eggs,,Gen-2,45,70,TRUE,25,,FALSE,305
239,Elekid,0.6,23.5,45,63,37,65,55,95,Electric,,FALSE,FALSE,No-eggs,,Gen-2,45,70,TRUE,25,,FALSE,360
240,Magby,0.7,21.4,45,75,37,70,55,83,Fire,,FALSE,FALSE,No-eggs,,Gen-2,45,70,TRUE,25,,FALSE,365
241,Miltank,1.2,75.5,95,80,105,40,70,100,Normal,,FALSE,FALSE,Ground,,Gen-2,45,70,FALSE,20,,FALSE,490
242,Blissey,1.5,46.8,255,10,10,75,135,55,Normal,,FALSE,FALSE,Fairy,,Gen-2,30,140,FALSE,40,,FALSE,540
243,Raikou,1.9,178,90,85,75,115,100,115,Electric,,TRUE,FALSE,No-eggs,,Gen-2,3,35,FALSE,80,,FALSE,580
244,Entei,2.1,198,115,115,85,90,75,100,Fire,,TRUE,FALSE,No-eggs,,Gen-2,3,35,FALSE,80,,FALSE,580
245,Suicune,2,187,100,75,115,90,115,85,Water,,TRUE,FALSE,No-eggs,,Gen-2,3,35,FALSE,80,,FALSE,580
246,Larvitar,0.6,72,50,64,50,45,50,41,Rock,Ground,FALSE,FALSE,Monster,,Gen-2,45,35,FALSE,40,,FALSE,300
247,Pupitar,1.2,152,70,84,70,65,70,51,Rock,Ground,FALSE,FALSE,Monster,,Gen-2,45,35,FALSE,40,,FALSE,410
248,Tyranitar,2,202,100,134,110,95,100,61,Rock,Dark,FALSE,FALSE,Monster,,Gen-2,45,35,FALSE,40,,TRUE,600
249,Lugia,5.2,216,106,90,130,90,154,110,Psychic,Flying,TRUE,FALSE,No-eggs,,Gen-2,3,0,FALSE,120,,FALSE,680
250,Ho-oh,3.8,199,106,130,90,110,154,90,Fire,Flying,TRUE,FALSE,No-eggs,,Gen-2,3,0,FALSE,120,,FALSE,680
251,Celebi,0.6,5,100,100,100,100,100,100,Psychic,Grass,FALSE,TRUE,No-eggs,,Gen-2,45,100,FALSE,120,,FALSE,600
252,Treecko,0.5,5,40,45,35,65,55,70,Grass,,FALSE,FALSE,Monster,Dragon,Gen-3,45,70,FALSE,20,,FALSE,310
253,Grovyle,0.9,21.6,50,65,45,85,65,95,Grass,,FALSE,FALSE,Monster,Dragon,Gen-3,45,70,FALSE,20,,FALSE,405
254,Sceptile,1.7,52.2,70,85,65,105,85,120,Grass,,FALSE,FALSE,Monster,Dragon,Gen-3,45,70,FALSE,20,,FALSE,530
255,Torchic,0.4,2.5,45,60,40,70,50,45,Fire,,FALSE,FALSE,Ground,,Gen-3,45,70,FALSE,20,,FALSE,310
256,Combusken,0.9,19.5,60,85,60,85,60,55,Fire,Fighting,FALSE,FALSE,Ground,,Gen-3,45,70,FALSE,20,,FALSE,405
257,Blaziken,1.9,52,80,120,70,110,70,80,Fire,Fighting,FALSE,FALSE,Ground,,Gen-3,45,70,FALSE,20,,FALSE,530
258,Mudkip,0.4,7.6,50,70,50,50,50,40,Water,,FALSE,FALSE,Monster,Water1,Gen-3,45,70,FALSE,20,,FALSE,310
259,Marshtomp,0.7,28,70,85,70,60,70,50,Water,Ground,FALSE,FALSE,Monster,Water1,Gen-3,45,70,FALSE,20,,FALSE,405
260,Swampert,1.5,81.9,100,110,90,85,90,60,Water,Ground,FALSE,FALSE,Monster,Water1,Gen-3,45,70,FALSE,20,,FALSE,535
261,Poochyena,0.5,13.6,35,55,35,30,30,35,Dark,,FALSE,FALSE,Ground,,Gen-3,255,70,FALSE,15,,FALSE,220
262,Mightyena,1,37,70,90,70,60,60,70,Dark,,FALSE,FALSE,Ground,,Gen-3,127,70,FALSE,15,,FALSE,420
263,Zigzagoon,0.4,17.5,38,30,41,30,41,60,Normal,,FALSE,FALSE,Ground,,Gen-3,255,70,FALSE,15,,FALSE,240
264,Linoone,0.5,32.5,78,70,61,50,61,100,Normal,,FALSE,FALSE,Ground,,Gen-3,90,70,FALSE,15,,FALSE,420
265,Wurmple,0.3,3.6,45,45,35,20,30,20,Bug,,FALSE,FALSE,Bug,,Gen-3,255,70,FALSE,15,,FALSE,195
266,Silcoon,0.6,10,50,35,55,25,25,15,Bug,,FALSE,FALSE,Bug,,Gen-3,120,70,FALSE,15,,FALSE,205
267,Beautifly,1,28.4,60,70,50,100,50,65,Bug,Flying,FALSE,FALSE,Bug,,Gen-3,45,70,FALSE,15,,FALSE,395
268,Cascoon,0.7,11.5,50,35,55,25,25,15,Bug,,FALSE,FALSE,Bug,,Gen-3,120,70,FALSE,15,,FALSE,205
269,Dustox,1.2,31.6,60,50,70,50,90,65,Bug,Poison,FALSE,FALSE,Bug,,Gen-3,45,70,FALSE,15,,FALSE,385
270,Lotad,0.5,2.6,40,30,30,40,50,30,Water,Grass,FALSE,FALSE,Water1,Plant,Gen-3,255,70,FALSE,15,,FALSE,220
271,Lombre,1.2,32.5,60,50,50,60,70,50,Water,Grass,FALSE,FALSE,Water1,Plant,Gen-3,120,70,FALSE,15,,FALSE,340
272,Ludicolo,1.5,55,80,70,70,90,100,70,Water,Grass,FALSE,FALSE,Water1,Plant,Gen-3,45,70,FALSE,15,,FALSE,480
273,Seedot,0.5,4,40,40,50,30,30,30,Grass,,FALSE,FALSE,Ground,Plant,Gen-3,255,70,FALSE,15,,FALSE,220
274,Nuzleaf,1,28,70,70,40,60,40,60,Grass,Dark,FALSE,FALSE,Ground,Plant,Gen-3,120,70,FALSE,15,,FALSE,340
275,Shiftry,1.3,59.6,90,100,60,90,60,80,Grass,Dark,FALSE,FALSE,Ground,Plant,Gen-3,45,70,FALSE,15,,FALSE,480
276,Taillow,0.3,2.3,40,55,30,30,30,85,Normal,Flying,FALSE,FALSE,Flying,,Gen-3,200,70,FALSE,15,,FALSE,270
277,Swellow,0.7,19.8,60,85,60,75,50,125,Normal,Flying,FALSE,FALSE,Flying,,Gen-3,45,70,FALSE,15,,FALSE,455
278,Wingull,0.6,9.5,40,30,30,55,30,85,Water,Flying,FALSE,FALSE,Water1,Flying,Gen-3,190,70,FALSE,20,,FALSE,270
279,Pelipper,1.2,28,60,50,100,95,70,65,Water,Flying,FALSE,FALSE,Water1,Flying,Gen-3,45,70,FALSE,20,,FALSE,440
280,Ralts,0.4,6.6,28,25,25,45,35,40,Psychic,Fairy,FALSE,FALSE,Humanshape,Indeterminate,Gen-3,235,35,FALSE,20,Psychic,FALSE,198
281,Kirlia,0.8,20.2,38,35,35,65,55,50,Psychic,Fairy,FALSE,FALSE,Humanshape,Indeterminate,Gen-3,120,35,FALSE,20,Psychic,FALSE,278
282,Gardevoir,1.6,48.4,68,65,65,125,115,80,Psychic,Fairy,FALSE,FALSE,Humanshape,Indeterminate,Gen-3,45,35,FALSE,20,Psychic,FALSE,518
283,Surskit,0.5,1.7,40,30,32,50,52,65,Bug,Water,FALSE,FALSE,Water1,Bug,Gen-3,200,70,FALSE,15,,FALSE,269
284,Masquerain,0.8,3.6,70,60,62,100,82,80,Bug,Flying,FALSE,FALSE,Water1,Bug,Gen-3,75,70,FALSE,15,,FALSE,454
285,Shroomish,0.4,4.5,60,40,60,40,60,35,Grass,,FALSE,FALSE,Fairy,Plant,Gen-3,255,70,FALSE,15,,FALSE,295
286,Breloom,1.2,39.2,60,130,80,60,60,70,Grass,Fighting,FALSE,FALSE,Fairy,Plant,Gen-3,90,70,FALSE,15,,FALSE,460
287,Slakoth,0.8,24,60,60,60,35,35,30,Normal,,FALSE,FALSE,Ground,,Gen-3,255,70,FALSE,15,,FALSE,280
288,Vigoroth,1.4,46.5,80,80,80,55,55,90,Normal,,FALSE,FALSE,Ground,,Gen-3,120,70,FALSE,15,,FALSE,440
289,Slaking,2,130.5,150,160,100,95,65,100,Normal,,FALSE,FALSE,Ground,,Gen-3,45,70,FALSE,15,,FALSE,670
290,Nincada,0.5,5.5,31,45,90,30,30,40,Bug,Ground,FALSE,FALSE,Bug,,Gen-3,255,70,FALSE,15,,FALSE,266
291,Ninjask,0.8,12,61,90,45,50,50,160,Bug,Flying,FALSE,FALSE,Bug,,Gen-3,120,70,FALSE,15,,FALSE,456
292,Shedinja,0.8,1.2,1,90,45,30,30,40,Bug,Ghost,FALSE,FALSE,Mineral,,Gen-3,45,70,FALSE,15,,FALSE,236
293,Whismur,0.6,16.3,64,51,23,51,23,28,Normal,,FALSE,FALSE,Monster,Ground,Gen-3,190,70,FALSE,20,,FALSE,240
294,Loudred,1,40.5,84,71,43,71,43,48,Normal,,FALSE,FALSE,Monster,Ground,Gen-3,120,70,FALSE,20,,FALSE,360
295,Exploud,1.5,84,104,91,63,91,73,68,Normal,,FALSE,FALSE,Monster,Ground,Gen-3,45,70,FALSE,20,,FALSE,490
296,Makuhita,1,86.4,72,60,30,20,30,25,Fighting,,FALSE,FALSE,Humanshape,,Gen-3,180,70,FALSE,20,,FALSE,237
297,Hariyama,2.3,253.8,144,120,60,40,60,50,Fighting,,FALSE,FALSE,Humanshape,,Gen-3,200,70,FALSE,20,,FALSE,474
298,Azurill,0.2,2,50,20,40,20,40,20,Normal,Fairy,FALSE,FALSE,No-eggs,,Gen-3,150,70,TRUE,10,Normal,FALSE,190
299,Nosepass,1,97,30,45,135,45,90,30,Rock,,FALSE,FALSE,Mineral,,Gen-3,255,70,FALSE,20,,FALSE,375
300,Skitty,0.6,11,50,45,45,35,35,50,Normal,,FALSE,FALSE,Ground,Fairy,Gen-3,255,70,FALSE,15,,FALSE,260
301,Delcatty,1.1,32.6,70,65,65,55,55,90,Normal,,FALSE,FALSE,Ground,Fairy,Gen-3,60,70,FALSE,15,,FALSE,400
302,Sableye,0.5,11,50,75,75,65,65,50,Dark,Ghost,FALSE,FALSE,Humanshape,,Gen-3,45,35,FALSE,25,,FALSE,380
303,Mawile,0.6,11.5,50,85,85,55,55,50,Steel,Fairy,FALSE,FALSE,Ground,Fairy,Gen-3,45,70,FALSE,20,Steel,FALSE,380
304,Aron,0.4,60,50,70,100,40,40,30,Steel,Rock,FALSE,FALSE,Monster,,Gen-3,180,35,FALSE,35,,FALSE,330
305,Lairon,0.9,120,60,90,140,50,50,40,Steel,Rock,FALSE,FALSE,Monster,,Gen-3,90,35,FALSE,35,,FALSE,430
306,Aggron,2.1,360,70,110,180,60,60,50,Steel,Rock,FALSE,FALSE,Monster,,Gen-3,45,35,FALSE,35,,FALSE,530
307,Meditite,0.6,11.2,30,40,55,40,55,60,Fighting,Psychic,FALSE,FALSE,Humanshape,,Gen-3,180,70,FALSE,20,,FALSE,280
308,Medicham,1.3,31.5,60,60,75,60,75,80,Fighting,Psychic,FALSE,FALSE,Humanshape,,Gen-3,90,70,FALSE,20,,FALSE,410
309,Electrike,0.6,15.2,40,45,40,65,40,65,Electric,,FALSE,FALSE,Ground,,Gen-3,120,70,FALSE,20,,FALSE,295
310,Manectric,1.5,40.2,70,75,60,105,60,105,Electric,,FALSE,FALSE,Ground,,Gen-3,45,70,FALSE,20,,FALSE,475
311,Plusle,0.4,4.2,60,50,40,85,75,95,Electric,,FALSE,FALSE,Fairy,,Gen-3,200,70,FALSE,20,,FALSE,405
312,Minun,0.4,4.2,60,40,50,75,85,95,Electric,,FALSE,FALSE,Fairy,,Gen-3,200,70,FALSE,20,,FALSE,405
313,Volbeat,0.7,17.7,65,73,75,47,85,85,Bug,,FALSE,FALSE,Bug,Humanshape,Gen-3,150,70,FALSE,15,,FALSE,430
314,Illumise,0.6,17.7,65,47,75,73,85,85,Bug,,FALSE,FALSE,Bug,Humanshape,Gen-3,150,70,FALSE,15,,FALSE,430
315,Roselia,0.3,2,50,60,45,100,80,65,Grass,Poison,FALSE,FALSE,Fairy,Plant,Gen-3,150,70,FALSE,20,,FALSE,400
316,Gulpin,0.4,10.3,70,43,53,43,53,40,Poison,,FALSE,FALSE,Indeterminate,,Gen-3,225,70,FALSE,20,,FALSE,302
317,Swalot,1.7,80,100,73,83,73,83,55,Poison,,FALSE,FALSE,Indeterminate,,Gen-3,75,70,FALSE,20,,FALSE,467
318,Carvanha,0.8,20.8,45,90,20,65,20,65,Water,Dark,FALSE,FALSE,Water2,,Gen-3,225,35,FALSE,20,,FALSE,305
319,Sharpedo,1.8,88.8,70,120,40,95,40,95,Water,Dark,FALSE,FALSE,Water2,,Gen-3,60,35,FALSE,20,,FALSE,460
320,Wailmer,2,130,130,70,35,70,35,60,Water,,FALSE,FALSE,Ground,Water2,Gen-3,125,70,FALSE,40,,FALSE,400
321,Wailord,14.5,398,170,90,45,90,45,60,Water,,FALSE,FALSE,Ground,Water2,Gen-3,60,70,FALSE,40,,FALSE,500
322,Numel,0.7,24,60,60,40,65,45,35,Fire,Ground,FALSE,FALSE,Ground,,Gen-3,255,70,FALSE,20,,FALSE,305
323,Camerupt,1.9,220,70,100,70,105,75,40,Fire,Ground,FALSE,FALSE,Ground,,Gen-3,150,70,FALSE,20,,FALSE,460
324,Torkoal,0.5,80.4,70,85,140,85,70,20,Fire,,FALSE,FALSE,Ground,,Gen-3,90,70,FALSE,20,,FALSE,470
325,Spoink,0.7,30.6,60,25,35,70,80,60,Psychic,,FALSE,FALSE,Ground,,Gen-3,255,70,FALSE,20,,FALSE,330
326,Grumpig,0.9,71.5,80,45,65,90,110,80,Psychic,,FALSE,FALSE,Ground,,Gen-3,60,70,FALSE,20,,FALSE,470
327,Spinda,1.1,5,60,60,60,60,60,60,Normal,,FALSE,FALSE,Ground,Humanshape,Gen-3,255,70,FALSE,15,,FALSE,360
328,Trapinch,0.7,15,45,100,45,45,45,10,Ground,,FALSE,FALSE,Bug,Dragon,Gen-3,255,70,FALSE,20,,FALSE,290
329,Vibrava,1.1,15.3,50,70,50,50,50,70,Ground,Dragon,FALSE,FALSE,Bug,Dragon,Gen-3,120,70,FALSE,20,,FALSE,340
330,Flygon,2,82,80,100,80,80,80,100,Ground,Dragon,FALSE,FALSE,Bug,Dragon,Gen-3,45,70,FALSE,20,,FALSE,520
331,Cacnea,0.4,51.3,50,85,40,85,40,35,Grass,,FALSE,FALSE,Plant,Humanshape,Gen-3,190,35,FALSE,20,,FALSE,335
332,Cacturne,1.3,77.4,70,115,60,115,60,55,Grass,Dark,FALSE,FALSE,Plant,Humanshape,Gen-3,60,35,FALSE,20,,FALSE,475
333,Swablu,0.4,1.2,45,40,60,40,75,50,Normal,Flying,FALSE,FALSE,Flying,Dragon,Gen-3,255,70,FALSE,20,,FALSE,310
334,Altaria,1.1,20.6,75,70,90,70,105,80,Dragon,Flying,FALSE,FALSE,Flying,Dragon,Gen-3,45,70,FALSE,20,,FALSE,490
335,Zangoose,1.3,40.3,73,115,60,60,60,90,Normal,,FALSE,FALSE,Ground,,Gen-3,90,70,FALSE,20,,FALSE,458
336,Seviper,2.7,52.5,73,100,60,100,60,65,Poison,,FALSE,FALSE,Ground,Dragon,Gen-3,90,70,FALSE,20,,FALSE,458
337,Lunatone,1,168,90,55,65,95,85,70,Rock,Psychic,FALSE,FALSE,Mineral,,Gen-3,45,70,FALSE,25,,FALSE,460
338,Solrock,1.2,154,90,95,85,55,65,70,Rock,Psychic,FALSE,FALSE,Mineral,,Gen-3,45,70,FALSE,25,,FALSE,460
339,Barboach,0.4,1.9,50,48,43,46,41,60,Water,Ground,FALSE,FALSE,Water2,,Gen-3,190,70,FALSE,20,,FALSE,288
340,Whiscash,0.9,23.6,110,78,73,76,71,60,Water,Ground,FALSE,FALSE,Water2,,Gen-3,75,70,FALSE,20,,FALSE,468
341,Corphish,0.6,11.5,43,80,65,50,35,35,Water,,FALSE,FALSE,Water1,Water3,Gen-3,205,70,FALSE,15,,FALSE,308
342,Crawdaunt,1.1,32.8,63,120,85,90,55,55,Water,Dark,FALSE,FALSE,Water1,Water3,Gen-3,155,70,FALSE,15,,FALSE,468
343,Baltoy,0.5,21.5,40,40,55,40,70,55,Ground,Psychic,FALSE,FALSE,Mineral,,Gen-3,255,70,FALSE,20,,FALSE,300
344,Claydol,1.5,108,60,70,105,70,120,75,Ground,Psychic,FALSE,FALSE,Mineral,,Gen-3,90,70,FALSE,20,,FALSE,500
345,Lileep,1,23.8,66,41,77,61,87,23,Rock,Grass,FALSE,FALSE,Water3,,Gen-3,45,70,FALSE,30,,FALSE,355
346,Cradily,1.5,60.4,86,81,97,81,107,43,Rock,Grass,FALSE,FALSE,Water3,,Gen-3,45,70,FALSE,30,,FALSE,495
347,Anorith,0.7,12.5,45,95,50,40,50,75,Rock,Bug,FALSE,FALSE,Water3,,Gen-3,45,70,FALSE,30,,FALSE,355
348,Armaldo,1.5,68.2,75,125,100,70,80,45,Rock,Bug,FALSE,FALSE,Water3,,Gen-3,45,70,FALSE,30,,FALSE,495
349,Feebas,0.6,7.4,20,15,20,10,55,80,Water,,FALSE,FALSE,Water1,Dragon,Gen-3,255,70,FALSE,20,,FALSE,200
350,Milotic,6.2,162,95,60,79,100,125,81,Water,,FALSE,FALSE,Water1,Dragon,Gen-3,60,70,FALSE,20,,FALSE,540
351,Castform,0.3,0.8,70,70,70,70,70,70,Normal,,FALSE,FALSE,Fairy,Indeterminate,Gen-3,45,70,FALSE,25,,FALSE,420
352,Kecleon,1,22,60,90,70,60,120,40,Normal,,FALSE,FALSE,Ground,,Gen-3,200,70,FALSE,20,,FALSE,440
353,Shuppet,0.6,2.3,44,75,35,63,33,45,Ghost,,FALSE,FALSE,Indeterminate,,Gen-3,225,35,FALSE,25,,FALSE,295
354,Banette,1.1,12.5,64,115,65,83,63,65,Ghost,,FALSE,FALSE,Indeterminate,,Gen-3,45,35,FALSE,25,,FALSE,455
355,Duskull,0.8,15,20,40,90,30,90,25,Ghost,,FALSE,FALSE,Indeterminate,,Gen-3,190,35,FALSE,25,,FALSE,295
356,Dusclops,1.6,30.6,40,70,130,60,130,25,Ghost,,FALSE,FALSE,Indeterminate,,Gen-3,90,35,FALSE,25,,FALSE,455
357,Tropius,2,100,99,68,83,72,87,51,Grass,Flying,FALSE,FALSE,Monster,Plant,Gen-3,200,70,FALSE,25,,FALSE,460
358,Chimecho,0.6,1,75,50,80,95,90,65,Psychic,,FALSE,FALSE,Indeterminate,,Gen-3,45,70,FALSE,25,,FALSE,455
359,Absol,1.2,47,65,130,60,75,60,75,Dark,,FALSE,FALSE,Ground,,Gen-3,30,35,FALSE,25,,FALSE,465
360,Wynaut,0.6,14,95,23,48,23,48,23,Psychic,,FALSE,FALSE,No-eggs,,Gen-3,125,70,TRUE,20,,FALSE,260
361,Snorunt,0.7,16.8,50,50,50,50,50,50,Ice,,FALSE,FALSE,Fairy,Mineral,Gen-3,190,70,FALSE,20,,FALSE,300
362,Glalie,1.5,256.5,80,80,80,80,80,80,Ice,,FALSE,FALSE,Fairy,Mineral,Gen-3,75,70,FALSE,20,,FALSE,480
363,Spheal,0.8,39.5,70,40,50,55,50,25,Ice,Water,FALSE,FALSE,Water1,Ground,Gen-3,255,70,FALSE,20,,FALSE,290
364,Sealeo,1.1,87.6,90,60,70,75,70,45,Ice,Water,FALSE,FALSE,Water1,Ground,Gen-3,120,70,FALSE,20,,FALSE,410
365,Walrein,1.4,150.6,110,80,90,95,90,65,Ice,Water,FALSE,FALSE,Water1,Ground,Gen-3,45,70,FALSE,20,,FALSE,530
366,Clamperl,0.4,52.5,35,64,85,74,55,32,Water,,FALSE,FALSE,Water1,,Gen-3,255,70,FALSE,20,,FALSE,345
367,Huntail,1.7,27,55,104,105,94,75,52,Water,,FALSE,FALSE,Water1,,Gen-3,60,70,FALSE,20,,FALSE,485
